PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=737&external=true&parentUrl=close,PO #99SWC-NV25-25281:737,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Brandon Craig,3PS - Sent,06/18/2025,"$2,471.36"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=738&external=true&parentUrl=close,PO #99SWC-NV25-25281:738,Marisa Peters order for batteries,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Marisa Peters,3PS - Sent,06/18/2025,$12.22
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=739&external=true&parentUrl=close,PO #99SWC-NV25-25281:739,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Taraea Williams,3PS - Sent,06/18/2025,$93.04
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=740&external=true&parentUrl=close,PO #99SWC-NV25-25281:740,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Heather Staneff,3PS - Sent,06/18/2025,"$13,497.76"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=741&external=true&parentUrl=close,PO #99SWC-NV25-25281:741,Amazon Re-Order,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,Jeff Brown,3PCO - Closed,06/18/2025,"$1,818.59"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=742&external=true&parentUrl=close,PO #99SWC-NV25-25281:742,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Taraea Williams,3PS - Sent,06/18/2025,$301.37
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=743&external=true&parentUrl=close,PO #99SWC-NV25-25281:743,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Taraea Williams,3PS - Sent,06/18/2025,"$1,423.00"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=744&external=true&parentUrl=close,PO #99SWC-NV25-25281:744,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Tourism And Cultural Affairs,Museums and History Division,Adrienne Villanueva,3PCR - Complete Receipt,06/18/2025,$64.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=745&external=true&parentUrl=close,PO #99SWC-NV25-25281:745,R25028-LV DOORBELL,"Amazon Capital Services, Inc.",State Public Charter School Authority,State Public Charter School Authority,Brittany Davis,3PCR - Complete Receipt,06/18/2025,$65.98
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=746&external=true&parentUrl=close,PO #99SWC-NV25-25281:746,6/18/25 Amazon Business Office Supplies,"Amazon Capital Services, Inc.",Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,06/18/2025,"$1,354.86"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=747&external=true&parentUrl=close,PO #99SWC-NV25-25281:747,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Business and Industry,Division of Insurance,Teresa Fernandez,3PCR - Complete Receipt,06/18/2025,$54.99
